"Time","proxy-server-6c7d596b95-28skc / default / PKG","yolo-server-798f5c5578-ll75h / default / PKG","proxy-server-6c7d596b95-28skc / default / DRAM","yolo-server-798f5c5578-ll75h / default / DRAM","proxy-server-6c7d596b95-28skc / default / OTHER","yolo-server-798f5c5578-ll75h / default / OTHER","proxy-server-6c7d596b95-28skc / default / GPU","yolo-server-798f5c5578-ll75h / default / GPU"
2024-07-09 22:05:37,0.426,45.0,0,0,0,0,0,0
2024-07-09 22:05:38,0,0,0,0,0,0,0,0
2024-07-09 22:05:39,0,0,0,0,0,0,0,0
2024-07-09 22:05:40,0.510,54.3,0,0,0,0,0,0
2024-07-09 22:05:41,0,0,0,0,0,0,0,0
2024-07-09 22:05:42,0,0,0,0,0,0,0,0
2024-07-09 22:05:43,0.453,52.0,0,0,0,0,0,0
2024-07-09 22:05:44,0,0,0,0,0,0,0,0
2024-07-09 22:05:45,0,0,0,0,0,0,0,0
2024-07-09 22:05:46,0.513,51.3,0,0,0,0,0,0
2024-07-09 22:05:47,0,0,0,0,0,0,0,0
2024-07-09 22:05:48,0,0,0,0,0,0,0,0
2024-07-09 22:05:49,0.438,48.2,0,0,0,0,0,0
2024-07-09 22:05:50,0,0,0,0,0,0,0,0
2024-07-09 22:05:51,0,0,0,0,0,0,0,0
2024-07-09 22:05:52,0.561,58.2,0,0,0,0,0,0
2024-07-09 22:05:53,0,0,0,0,0,0,0,0
2024-07-09 22:05:54,0,0,0,0,0,0,0,0
2024-07-09 22:05:55,0.459,60.4,0,0,0,0,0,0
2024-07-09 22:05:56,0,0,0,0,0,0,0,0
2024-07-09 22:05:57,0,0,0,0,0,0,0,0
2024-07-09 22:05:58,0.498,49.1,0,0,0,0,0,0
2024-07-09 22:05:59,0,0,0,0,0,0,0,0
2024-07-09 22:06:00,0,0,0,0,0,0,0,0
2024-07-09 22:06:01,0.471,53.7,0,0,0,0,0,0
2024-07-09 22:06:02,0,0,0,0,0,0,0,0
2024-07-09 22:06:03,0,0,0,0,0,0,0,0
2024-07-09 22:06:04,0.489,54.7,0,0,0,0,0,0
2024-07-09 22:06:05,0,0,0,0,0,0,0,0
2024-07-09 22:06:06,0,0,0,0,0,0,0,0
